zona,enderecos_lista,aluguel,area_m²,quartos
norte,"Rua Herbert Hoover, Jardim Leonor Mendes De Barros, São Paulo Zona Norte, São Paulo",1500,72,2
norte,"Avenida Professora Ida Kolb, Jardim Das Laranjeiras, São Paulo Zona Norte, São Paulo",2900,90,4
norte,"Rua Alexandre Ramos De Souza, Vila Mangalot, São Paulo Zona Norte, São Paulo",1938,170,2
norte,"Rua Pedro Doll, Santana, São Paulo Zona Norte, São Paulo",4000,136,4
norte,"Rua José Leite De Almeida, 128 - Santa Teresinha, São Paulo - Sp, Brasil, Santa Teresinha, São Paulo Zona Norte, São Paulo",1450,50,2
norte,"Avenida Monte Celeste, Vila Santa Maria, São Paulo Zona Norte, São Paulo",3880,200,3
norte,"Rua Pedro Doll, Santana, São Paulo Zona Norte, São Paulo",2080,100,3
norte,"Avenida Rangel Pestana, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",1870,32,1
norte,"Rua Manoel Ferreira Barbosa, Vila Mangalot, São Paulo Zona Norte, São Paulo",1100,60,1
norte,"Rua Artur, Imirim, São Paulo Zona Norte, São Paulo",1530,87,1
norte,"Rua Altinópolis, Água Fria, São Paulo Zona Norte, São Paulo",1850,73,2
norte,"Rua Lagoa Verde, Vila Paulicéia, São Paulo Zona Norte, São Paulo",1350,70,2
norte,"Rua Vicente Ferreira Leite, Vila Siqueira (zona Norte), São Paulo Zona Norte, São Paulo",1260,50,2
norte,"Avenida Ultramarino, Lauzane Paulista, São Paulo Zona Norte, São Paulo",1600,53,2
norte,"Rua Tibério, Jardim Peri, São Paulo Zona Norte, São Paulo",2524,58,2
norte,"Avenida Gustavo Adolfo, Vila Medeiros, São Paulo Zona Norte, São Paulo",824,60,1
norte,"Rua Aluísio Azevedo, Santana, São Paulo Zona Norte, São Paulo",2400,65,2
norte,"Rua 21 De Abril, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",1600,79,2
norte,"Rua Martim Burchard, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",1600,44,2
norte,"Rua Professor José Miziara, Santa Teresinha, São Paulo Zona Norte, São Paulo",1900,65,2
norte,"Rua César Penna Ramos, Vila Santa Maria, São Paulo Zona Norte, São Paulo",3000,80,2
norte,"Avenida Professora Ida Kolb, Jardim Das Laranjeiras, São Paulo Zona Norte, São Paulo",2060,98,3
norte,"Rua Togo, Jardim Japão, São Paulo Zona Norte, São Paulo",1428,100,3
norte,"Rua Cabo Basílio Zequim Júnior, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",1500,56,2
norte,"Rua Francisco Luiz De Souza Júnior, Jardim Peri, São Paulo Zona Norte, São Paulo",1700,45,2
norte,"Rua Manuel Cherem, Vila Paulista, São Paulo Zona Norte, São Paulo",2300,58,2
norte,"Rua Francisco Da Lira, Jardim Leonor Mendes De Barros, São Paulo Zona Norte, São Paulo",2200,86,3
norte,"Rua Vitalina Moura, Vila Roque, São Paulo Zona Norte, São Paulo",1400,50,2
norte,"Rua Rio Verde, Vila Bruna, São Paulo Zona Norte, São Paulo",2500,65,1
norte,"Rua Soror Angélica, Vila Ester (zona Norte), São Paulo Zona Norte, São Paulo",2200,122,3
norte,"Rua Valdemar Martins, Parque Peruche, São Paulo Zona Norte, São Paulo",2652,65,3
norte,"Rua Santa Ângela, Vila Palmeiras, São Paulo Zona Norte, São Paulo",892,45,1
norte,"Rua Vichy, Vila Baruel, São Paulo Zona Norte, São Paulo",1500,37,2
norte,"Rua Major Dantas Cortez, Vila Gustavo, São Paulo Zona Norte, São Paulo",2100,63,2
norte,"Rua Santo Egídio, Santa Teresinha, São Paulo Zona Norte, São Paulo",3060,74,1
norte,"Rua Capiri, Vila Nova Mazzei, São Paulo Zona Norte, São Paulo",1112,70,1
norte,"Rua Itza, Jardim Modelo, São Paulo Zona Norte, São Paulo",1800,48,2
norte,"Rua Mestras Pias Filippini, Parque Monteiro Soares, São Paulo Zona Norte, São Paulo",3000,199,3
norte,"Avenida Imirim, Imirim, São Paulo Zona Norte, São Paulo",1650,80,1
norte,"Rua Menelau Campos, Parque Mandaqui, São Paulo Zona Norte, São Paulo",2500,160,4
norte,"Rua Eugênio De Freitas, Vila Guilherme, São Paulo Zona Norte, São Paulo",2300,62,2
norte,"Rua Rubens De Souza Araújo, Vila Mangalot, São Paulo Zona Norte, São Paulo",1236,55,2
norte,"Rua Benjamin Pereira, Jaçanã, São Paulo Zona Norte, São Paulo",1450,59,2
norte,"Avenida Professora Virgília Rodrigues Alves De Carvalho Pinto, Jardim Leonor Mendes De Barros, São Paulo Zona Norte, São Paulo",1800,47,2
norte,"Rua Joaquim Oliveira Freitas, Vila Mangalot, São Paulo Zona Norte, São Paulo",850,26,1
norte,"Rua Nova Dos Portugueses, Chora Menino, São Paulo Zona Norte, São Paulo",2040,66,2
norte,"Rua Paraíba, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",5000,177,3
norte,"Rua Claudino Pinto, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",1260,48,2
norte,"Avenida General Ataliba Leonel, Santana, São Paulo Zona Norte, São Paulo",1640,70,2
norte,"Rua Borges, Parada Inglesa, São Paulo Zona Norte, São Paulo",2000,55,2
norte,"Avenida Rangel Pestana, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",1990,32,1
norte,"Rua Alvorada Do Norte, Vila Mangalot, São Paulo Zona Norte, São Paulo",1200,48,1
norte,"Avenida General Ataliba Leonel, Santana, São Paulo Zona Norte, São Paulo",1640,70,2
norte,"Avenida Jaçanã, Jaçanã, São Paulo Zona Norte, São Paulo",3000,49,2
norte,"Rua Madrigais, Vila Nova Cachoeirinha, São Paulo Zona Norte, São Paulo",2500,50,1
norte,"Rua Manuel Cherem, Vila Paulista, São Paulo Zona Norte, São Paulo",2163,55,2
norte,"Rua Manuel Pitta, Vila Pita, São Paulo Zona Norte, São Paulo",1200,54,2
norte,"Rua Hipódromo, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",2500,45,2
norte,"Rua Jorge Valim, Vila Ester (zona Norte), São Paulo Zona Norte, São Paulo",1900,57,2
norte,"Rua Coronel Gustavo Santiago, Vila Zilda, São Paulo Zona Norte, São Paulo",2500,60,2
norte,"Rua Ernesto De Castro, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",2450,55,2
norte,"Rua Salvador Romeu, Vila Isolina Mazzei, São Paulo Zona Norte, São Paulo",4000,200,3
norte,"Avenida Do Guacá, Lauzane Paulista, São Paulo Zona Norte, São Paulo",4600,121,3
norte,"Rua Alfredo Inácio Trindade, Barro Branco, São Paulo Zona Norte, São Paulo",1326,64,2
norte,"Rua Doutor Zuquim, Santana, São Paulo Zona Norte, São Paulo",2000,85,4
norte,"Rua Martim Burchard, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",1800,50,2
norte,"Avenida Leôncio De Magalhães, Jardim São Paulo, São Paulo Zona Norte, São Paulo",3193,100,3
norte,"Rua Judith Zumkeller, Parque Mandaqui, São Paulo Zona Norte, São Paulo",2500,50,2
norte,"Rua Coronel Jordão, Vila Paiva, São Paulo Zona Norte, São Paulo",1750,35,1
norte,"Avenida Raimundo Pereira De Magalhães, Jardim Peri, São Paulo Zona Norte, São Paulo",1200,42,2
norte,"Rua Tanque Velho, Vila Nivi, São Paulo Zona Norte, São Paulo",1120,60,1
norte,"Avenida Do Anastácio, Jardim Peri, São Paulo Zona Norte, São Paulo",2800,64,3
norte,"Rua Coronel Euclídes Machado, Jardim Das Graças, São Paulo Zona Norte, São Paulo",1530,41,2
norte,"Rua Doutor Zuquim, Santana, São Paulo Zona Norte, São Paulo",3000,110,2
norte,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",1600,86,3
norte,"Rua Antônio Píres, Vila Albertina, São Paulo Zona Norte, São Paulo",9800,370,3
norte,"Rua Benevenuto Jordão, Vila Medeiros, São Paulo Zona Norte, São Paulo",1500,65,2
norte,"Avenida Ministro Petrônio Portela, Vila Amélia, São Paulo Zona Norte, São Paulo",2200,71,3
norte,"Rua Corneteiro Jesus, Água Fria, São Paulo Zona Norte, São Paulo",2240,120,2
norte,"Rua Das Imbiras, Vila Nova Mazzei, São Paulo Zona Norte, São Paulo",1632,58,2
norte,"Rua Pedro Doll, Santana, São Paulo Zona Norte, São Paulo",1600,37,1
norte,"Avenida Zaki Narchi, Carandiru, São Paulo Zona Norte, São Paulo",1650,80,1
norte,"Rua Manuel De Moura, Vila Gustavo, São Paulo Zona Norte, São Paulo",5000,490,6
norte,"Rua Samaritá, Jardim Das Laranjeiras, São Paulo Zona Norte, São Paulo",1530,57,2
norte,"Avenida Das Cerejeiras, Vila Maria Alta, São Paulo Zona Norte, São Paulo",4500,93,1
