bairro,zona,area,quartos,aluguel
Perdizes ,-oeste,248,4,2300000
Perdizes ,-oeste,600,6,12250
Perdizes ,-oeste,300,,10000
Perdizes ,-oeste,400,4,15000
Perdizes ,-oeste,325,,13000
Água Branca ,-oeste,680,,23000
Água Branca ,-oeste,300,,3500
Água Branca ,-oeste,600,,8000
Água Branca ,-oeste,300,,20000
Água Branca ,-oeste,300,4,3500
Água Branca ,-oeste,290,,5500
Água Branca ,-oeste,290,,5500
Água Branca ,-oeste,230,,15000
Água Branca ,-oeste,350,,17000
Água Branca ,-oeste,140,3,3300
Água Branca ,-oeste,200,1,5500
Água Branca ,-oeste,138,3,3500
Água Branca ,-oeste,299,8,7000
Água Branca ,-oeste,250,3,10000
Água Branca ,-oeste,320,,11000
Água Branca ,-oeste,192,,5000
Água Branca ,-oeste,138,3,4300
Água Branca ,-oeste,352,,8000
Água Branca ,-oeste,320,,6510
Água Branca ,-oeste,290,3,9010
Água Branca ,-oeste,470,12,16500
Cidade Moncoes ,-oeste,206,,10000
Cidade Moncoes ,-oeste,109,2,2800
Cidade Moncoes ,-oeste,150,2,3700
Cidade Moncoes ,-oeste,400,4,8900
Cidade Moncoes ,-oeste,370,4,8900
Cidade Moncoes ,-oeste,210,4,8500
Cidade Moncoes ,-oeste,210,4,8500
Cidade Moncoes ,-oeste,34,1,2300
Cidade Moncoes ,-oeste,400,4,9000
Cidade Moncoes ,-oeste,150,3,5000
Cidade Moncoes ,-oeste,205,,10000
Cidade Moncoes ,-oeste,310,,12000
Cidade Moncoes ,-oeste,140,3,4200
Cidade Moncoes ,-oeste,206,,10000
Cidade Moncoes ,-oeste,240,,6000
Cidade Moncoes ,-oeste,240,,6000
Cidade Moncoes ,-oeste,220,,16000
Cidade Moncoes ,-oeste,212,3,5900
Cidade Moncoes ,-oeste,145,,5000
Cidade Moncoes ,-oeste,180,2,4000
Cidade Moncoes ,-oeste,140,2,4000
Vila Leopoldina ,-oeste,225,3,2500
Vila Leopoldina ,-oeste,100,2,2000
Vila Leopoldina ,-oeste,50,1,1200
Vila Leopoldina ,-oeste,45,1,2000
Vila Leopoldina ,-oeste,540,,12900
Vila Leopoldina ,-oeste,130,3,4200
Vila Leopoldina ,-oeste,140,,3300
Vila Leopoldina ,-oeste,150,4,4500
Vila Leopoldina ,-oeste,70,1,2000
Vila Leopoldina ,-oeste,80,1,2000
Vila Leopoldina ,-oeste,48,2,1900
Vila Leopoldina ,-oeste,231,3,4600
Vila Leopoldina ,-oeste,120,1,3400
Vila Leopoldina ,-oeste,100,3,3300
Vila Leopoldina ,-oeste,80,2,4000
Vila Leopoldina ,-oeste,80,2,4000
Vila Leopoldina ,-oeste,540,9,12900
Vila Leopoldina ,-oeste,550,,13000
Vila Leopoldina ,-oeste,132,2,4810
Vila Leopoldina ,-oeste,400,5,7000
Vila Leopoldina ,-oeste,150,2,4000
Higienópolis ,-oeste,137,1,5000
Higienópolis ,-oeste,74,,6000
Higienópolis ,-oeste,186,,8000
Higienópolis ,-oeste,186,,11000
Higienópolis ,-oeste,106,1,11000
Higienópolis ,-oeste,186,,11000
Higienópolis ,-oeste,75,2,8000
Higienópolis ,-oeste,186,,11000
Higienópolis ,-oeste,74,,6000
Higienópolis ,-oeste,74,3,6000
Higienópolis ,-oeste,125,3,6000
Higienópolis ,-oeste,150,1,8000
Higienópolis ,-oeste,186,3,8000
Higienópolis ,-oeste,380,,14000
Higienópolis ,-oeste,74,3,6000
Higienópolis ,-oeste,75,2,8000
Higienópolis ,-oeste,75,1,8000
Higienópolis ,-oeste,75,,8000
Higienópolis ,-oeste,74,,6000
Higienópolis ,-oeste,113,3,11000
Higienópolis ,-oeste,59,2,8500
Alto Da Lapa ,-oeste,120,,3500
Alto Da Lapa ,-oeste,318,3,9500
Alto Da Lapa ,-oeste,400,7,12000
Alto Da Lapa ,-oeste,481,12,25000
Alto Da Lapa ,-oeste,120,4,3000
Alto Da Lapa ,-oeste,740,6,8000
Alto Da Lapa ,-oeste,270,3,8000
Alto Da Lapa ,-oeste,480,,16000
Alto Da Lapa ,-oeste,420,3,11000
Alto Da Lapa ,-oeste,450,,14000
Alto Da Lapa ,-oeste,571,5,10000
Alto Da Lapa ,-oeste,605,4,14000
Alto Da Lapa ,-oeste,219,3,6500
Alto Da Lapa ,-oeste,318,3,9500
Alto Da Lapa ,-oeste,172,11,6500
