zona,area_quartos,enderecos_lista,aluguel
zona-norte,271 m² construídos4 quartos,"Rua Álvaro De Abreu,
                139, Jardim São Paulo, São Paulo Zona Norte, São Paulo",7.500
zona-norte,90 m² construídos,"Avenida Casa Verde,
                2.200, Casa Verde, São Paulo Zona Norte, São Paulo",2.200
zona-norte,35 m² construídos1 quarto,"Av. Nossa Senhora Do Loreto 237, Vila Medeiros, São Paulo Zona Norte, São Paulo",1.100
zona-norte,386 m² construídos,"Av Guapira, Tucuruvi, São Paulo Zona Norte, São Paulo",11.000
zona-norte,87 m² construídos3 quartos,"R Sílvio De Moura, Vila Dom Pedro Ii, São Paulo Zona Norte, São Paulo",2.700
zona-norte,26 m² construídos1 quarto,"Rua Said Saad, Vila Amália, São Paulo Zona Norte, São Paulo",700
zona-norte,42 m² construídos,"Rua Voluntários Da Pátria,
                3744, Santana, São Paulo Zona Norte, São Paulo",2.000
zona-norte,80 m² construídos2 quartos,"Rua Da Grota, Vila Gustavo, São Paulo Zona Norte, São Paulo",1.850
zona-norte,58 m² construídos2 quartos,"Rua Bela Vista Do Paraíso, Vila Palmeiras, São Paulo Zona Norte, São Paulo",1.200
zona-norte,30 m² construídos1 quarto,"Rua Capitão Rubens, Parque Edu Chaves, São Paulo Zona Norte, São Paulo",945
zona-norte,50 m² construídos2 quartos,"Rua Domingos José Sapienza, Vila Amália, São Paulo Zona Norte, São Paulo",1.550
zona-norte,55 m² construídos2 quartos,"Rua Doutor Heitor Nascimento, Nossa Senhora Do Ó, São Paulo Zona Norte, São Paulo",1.600
zona-norte,25 m² construídos1 quarto,"Rua Da Bica, Freguesia Do Ó, São Paulo Zona Norte, São Paulo",800
zona-norte,75 m² construídos2 quartos,"Rua Doutor Zuquim, Santana, São Paulo Zona Norte, São Paulo",1.250
zona-norte,58 m² construídos2 quartos,"Rua Maria Bandini Savoy, Parque Mandaqui, São Paulo Zona Norte, São Paulo",1.300
zona-norte,50 m² construídos2 quartos,"Rua Juan Arfe, Vila Cruz Das Almas, São Paulo Zona Norte, São Paulo",1.300
zona-norte,58 m² construídos2 quartos,"Avenida José Maria Fernandes, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",1.500
zona-norte,20 m² construídos1 quarto,"Rua Ofion, Vila Guilherme, São Paulo Zona Norte, São Paulo",850
zona-norte,"1,600 m² construídos","Ataliba Vieira, Vila Medeiros, São Paulo Zona Norte, São Paulo",25.000
zona-norte,40 m² construídos1 quarto,"Travessa Preciosa, Lauzane Paulista, São Paulo Zona Norte, São Paulo",900
zona-norte,65 m² construídos3 quartos,"Rua Ana De Barros, Jardim Santa Inês, São Paulo Zona Norte, São Paulo",1.400
zona-norte,40 m² construídos1 quarto,"Rua Ascenso Dias Leme, Imirim, São Paulo Zona Norte, São Paulo",550
zona-norte,30 m² construídos1 quarto,"Rua Said Saad, Vila Amália, São Paulo Zona Norte, São Paulo",750
zona-norte,60 m² construídos2 quartos,"Rua Santo Egídio, Santa Teresinha, São Paulo Zona Norte, São Paulo",1.100
zona-norte,70 m² construídos1 quarto,"Rua Da Bica, Freguesia Do Ó, São Paulo Zona Norte, São Paulo",1.200
zona-norte,42 m² construídos1 quarto,"Avenida Guapira, Tucuruvi, São Paulo Zona Norte, São Paulo",1.600
zona-norte,76 m² construídos3 quartos,"Rua João Rudge, Casa Verde, São Paulo Zona Norte, São Paulo",2.500
zona-norte,75 m² construídos1 quarto,"Rua Laerte, Vila Mariza Mazzei, São Paulo Zona Norte, São Paulo",920
zona-norte,55 m² construídos2 quartos,"Rua Alcindo Bueno De Assis, Barro Branco, São Paulo Zona Norte, São Paulo",1.139
zona-norte,72 m² construídos3 quartos,"Avenida Parada Pinto, Vila Nova Cachoeirinha, São Paulo Zona Norte, São Paulo",1.400
zona-norte,35 m² construídos1 quarto,"Rua Gávea, Vila Maria, São Paulo Zona Norte, São Paulo",1.200
zona-norte,36 m² construídos1 quarto,"Avenida Jardim Japão, Jardim Brasil, São Paulo Zona Norte, São Paulo",968
zona-norte,70 m² construídos2 quartos,"Avenida Cônego José Salomon, Jardim Peri, São Paulo Zona Norte, São Paulo",1.200
zona-norte,438 m² construídos4 quartos,"Rua Parque Da Fonte, Barro Branco, São Paulo Zona Norte, São Paulo",9.540
zona-norte,119 m² construídos4 quartos,"Rua Manuel De Sousa, Santana, São Paulo Zona Norte, São Paulo",2.950
zona-norte,20 m² construídos1 quarto,"Rua Ofion, Vila Guilherme, São Paulo Zona Norte, São Paulo",900
zona-norte,35 m² construídos1 quarto,"Rua Doutor Zuquim, Santana, São Paulo Zona Norte, São Paulo",1.800
zona-norte,35 m² construídos1 quarto,"Rua Henrique Braglia, Vila Dom Pedro Ii, São Paulo Zona Norte, São Paulo",1.500
zona-norte,49 m² construídos2 quartos,"Avenida Elísio Teixeira Leite, Vila Brasilândia, São Paulo Zona Norte, São Paulo",1.650
zona-norte,70 m² construídos2 quartos,"Rua Ministro Fonseca Filho, Jaçanã, São Paulo Zona Norte, São Paulo",1.482
zona-norte,100 m² construídos2 quartos,"Rua Marieta Da Silva, Vila Guilherme, São Paulo Zona Norte, São Paulo",2.075
zona-norte,32 m² construídos1 quarto,"Rua Hamburgo, Vila Gustavo, São Paulo Zona Norte, São Paulo",1.300
zona-norte,200 m² construídos4 quartos,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",2.950
zona-norte,131 m² construídos2 quartos,"Rua Ataualpa, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",2.350
zona-norte,500 m² construídos3 quartos,"Rua Parque Da Fonte, Barro Branco, São Paulo Zona Norte, São Paulo",15.000
zona-norte,40 m² construídos1 quarto,"Avenida Milton Da Rocha, Vila Sabrina, São Paulo Zona Norte, São Paulo",1.000
zona-norte,35 m² construídos1 quarto,"Rua Gávea, Vila Maria, São Paulo Zona Norte, São Paulo",1.200
zona-norte,31 m² construídos1 quarto,"Rua Torres Da Barra, Jardim Peri, São Paulo Zona Norte, São Paulo",1.800
zona-norte,51 m² construídos2 quartos,"Rua Zanzibar, Casa Verde, São Paulo Zona Norte, São Paulo",1.390
zona-norte,96 m² construídos3 quartos,"Rua Itaici, Santa Teresinha, São Paulo Zona Norte, São Paulo",1.899
zona-norte,74 m² construídos3 quartos,"Rua Doutor Olavo Egídio, Santana, São Paulo Zona Norte, São Paulo",2.500
zona-norte,100 m² construídos2 quartos,"Rua Antônio De Souza Costa, Imirim, São Paulo Zona Norte, São Paulo",2.500
zona-norte,40 m² construídos1 quarto,"Avenida Milton Da Rocha, Vila Sabrina, São Paulo Zona Norte, São Paulo",1.100
zona-norte,20 m² construídos1 quarto,"Rua Ofion, Vila Guilherme, São Paulo Zona Norte, São Paulo",950
zona-norte,60 m² construídos2 quartos,"Avenida Júlio Buono, Vila Gustavo, São Paulo Zona Norte, São Paulo",2.600
zona-norte,70 m² construídos1 quarto,"Rua Magarinos Torres, Vila Maria, São Paulo Zona Norte, São Paulo",1.450
zona-norte,56 m² construídos2 quartos,"Rua Alfredo Pujol, Santana, São Paulo Zona Norte, São Paulo",1.950
zona-norte,42 m² construídos1 quarto,"Rua Alfredo Pujol, Santana, São Paulo Zona Norte, São Paulo",2.400
zona-norte,87 m² construídos2 quartos,"Rua Cândido Figueiredo, Vila Gustavo, São Paulo Zona Norte, São Paulo",2.241
zona-norte,58 m² construídos1 quarto,"Rua Alferes Magalhães, Santana, São Paulo Zona Norte, São Paulo",1.450
zona-norte,50 m² construídos2 quartos,"Rua Cabo Antônio Pinton, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",1.700
zona-norte,57 m² construídos2 quartos,"Rua José Debieux, Santana, São Paulo Zona Norte, São Paulo",1.600
zona-norte,55 m² construídos2 quartos,"Avenida Imirim, Imirim, São Paulo Zona Norte, São Paulo",1.800
zona-norte,20 m² construídos1 quarto,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",1.250
zona-norte,40 m² construídos1 quarto,"Rua Araritaguaba, Vila Maria Alta, São Paulo Zona Norte, São Paulo",960
zona-norte,58 m² construídos3 quartos,"Rua Eugênio De Freitas, Vila Guilherme, São Paulo Zona Norte, São Paulo",2.061
zona-norte,90 m² construídos2 quartos,"Rua Vasconcelos De Barros, Jardim Rossin, São Paulo Zona Norte, São Paulo",2.500
zona-norte,96 m² construídos3 quartos,"Rua Alfredo Pujol, Santana, São Paulo Zona Norte, São Paulo",2.134
zona-norte,70 m² construídos3 quartos,"Rua Ezequiel Freire, Santana, São Paulo Zona Norte, São Paulo",1.605
zona-norte,45 m² construídos1 quarto,"Rua Doutor Zuquim, Santana, São Paulo Zona Norte, São Paulo",2.650
zona-norte,150 m² construídos3 quartos,"Rua Canatiar, Vila Nova Mazzei, São Paulo Zona Norte, São Paulo",2.600
zona-norte,65 m² construídos2 quartos,"Rua Pedroso Xavier, Vila Albertina, São Paulo Zona Norte, São Paulo",2.300
zona-norte,50 m² construídos1 quarto,"Rua Relíquia, Jardim Das Laranjeiras, São Paulo Zona Norte, São Paulo",1.250
zona-norte,127 m² construídos2 quartos,"Rua São Zeferino, Jardim França, São Paulo Zona Norte, São Paulo",1.750
zona-norte,500 m² construídos4 quartos,"Rua Joaquim José Da Cruz Secco, Barro Branco, São Paulo Zona Norte, São Paulo",14.000
zona-norte,70 m² construídos1 quarto,"Rua Das Promessas, Vila Medeiros, São Paulo Zona Norte, São Paulo",1.100
zona-norte,60 m² construídos2 quartos,"Rua Clara De Oliveira, Santa Teresinha, São Paulo Zona Norte, São Paulo",1.500
zona-norte,55 m² construídos2 quartos,"Rua Jorge Valim, Parque Peruche, São Paulo Zona Norte, São Paulo",2.400
zona-norte,55 m² construídos2 quartos,"Rua Macieira, Jardim Peri, São Paulo Zona Norte, São Paulo",1.700
zona-norte,126 m² construídos3 quartos,"Rua Luis Tavares, Vila Guilherme, São Paulo Zona Norte, São Paulo",5.000
zona-norte,46 m² construídos2 quartos,"Rua Gávea, Vila Maria, São Paulo Zona Norte, São Paulo",1.600
zona-norte,45 m² construídos1 quarto,"Rua Joaquim Norberto, Vila Paulicéia, São Paulo Zona Norte, São Paulo",1.800
zona-norte,238 m² construídos3 quartos,"Rua Doutor Guilherme Cristoffel, Santana, São Paulo Zona Norte, São Paulo",8.000
zona-norte,46 m² construídos1 quarto,"Rua Duarte De Azevedo, Santana, São Paulo Zona Norte, São Paulo",1.900
zona-norte,100 m² construídos3 quartos,"Avenida Ordem E Progresso, Jardim Das Laranjeiras, São Paulo Zona Norte, São Paulo",1.850
zona-norte,130 m² construídos3 quartos,"Rua Pedro Doll, Santana, São Paulo Zona Norte, São Paulo",2.500
zona-norte,48 m² construídos1 quarto,"Rua Ministro Romeiro Neto, Vila Basileia, São Paulo Zona Norte, São Paulo",1.350
zona-norte,96 m² construídos2 quartos,"Rua Jorge Duprat Figueiredo, Vila Paulista, São Paulo Zona Norte, São Paulo",2.700
zona-norte,44 m² construídos1 quarto,"Rua Duarte De Azevedo, Santana, São Paulo Zona Norte, São Paulo",1.900
zona-norte,67 m² construídos2 quartos,"Capitão Francisco Lipi, Vila Dom Pedro Ii, São Paulo Zona Norte, São Paulo",1.600
zona-norte,58 m² construídos2 quartos,"Rua Dona Martinha, Santa Teresinha, São Paulo Zona Norte, São Paulo",2.000
zona-norte,132 m² construídos3 quartos,"Rua Helena Gambini, Vila Bruna, São Paulo Zona Norte, São Paulo",2.800
zona-norte,56 m² construídos2 quartos,"Avenida João Pessoa, Lauzane Paulista, São Paulo Zona Norte, São Paulo",1.600
zona-norte,140 m² construídos3 quartos,"Rua José Jerônimo Vasconcelos, Parque Mandaqui, São Paulo Zona Norte, São Paulo",3.500
zona-norte,73 m² construídos3 quartos,"Rua Antônio Ribeiro De Morais, Vila Carbone, São Paulo Zona Norte, São Paulo",2.750
zona-norte,69 m² construídos2 quartos,"Rua Aluísio Azevedo, Santana, São Paulo Zona Norte, São Paulo",1.700
zona-norte,67 m² construídos2 quartos,"Rua Comendador Cesar Alfieri, Parque São Luís, São Paulo Zona Norte, São Paulo",1.285
zona-norte,31 m² construídos1 quarto,"Rua Torres Da Barra, Jardim Peri, São Paulo Zona Norte, São Paulo",1.500
zona-norte,50 m² construídos2 quartos,"Avenida Professora Virgília Rodrigues Alves De Carvalho Pinto, Jardim Leonor Mendes De Barros, São Paulo Zona Norte, São Paulo",1.790
zona-norte,230 m² construídos3 quartos,"Rua Doutor Guilherme Cristofel, Santana, São Paulo Zona Norte, São Paulo",5.500
zona-norte,82 m² construídos3 quartos,"Rua Judith Zumkeller, Parque Mandaqui, São Paulo Zona Norte, São Paulo",2.395
zona-norte,69 m² construídos2 quartos,"Rua Celso Vieira, Vila Pereira Barreto, São Paulo Zona Norte, São Paulo",2.800
zona-norte,50 m² construídos2 quartos,"Rua Santa Eudóxia 963 - Cs 8, Parque Peruche, São Paulo Zona Norte, São Paulo",1.300
zona-norte,44 m² construídos1 quarto,"Rua Duarte De Azevedo, Santana, São Paulo Zona Norte, São Paulo",1.900
zona-norte,44 m² construídos2 quartos,"Rua Jupiá, Santa Teresinha, São Paulo Zona Norte, São Paulo",3.820
zona-norte,200 m² construídos4 quartos,"Rua Conselheiro Moreira De Barros, Santana, São Paulo Zona Norte, São Paulo",2.300
zona-norte,100 m² construídos2 quartos,"Rua Américo Boaventura, Santana, São Paulo Zona Norte, São Paulo",2.000
zona-norte,46 m² construídos1 quarto,"Rua Ezequiel Freire, Santana, São Paulo Zona Norte, São Paulo",1.950
zona-norte,60 m² construídos2 quartos,"Rua Aragão, Vila Mazzei, São Paulo Zona Norte, São Paulo",2.350
zona-norte,46 m² construídos1 quarto,"Rua Ministro Romeiro Neto, Vila Basileia, São Paulo Zona Norte, São Paulo",1.200
zona-norte,98 m² construídos2 quartos,"Rua Juami, Vila Ester (zona Norte), São Paulo Zona Norte, São Paulo",2.650
zona-norte,150 m² construídos2 quartos,"Rua Estevão Furquim, Jardim Peri, São Paulo Zona Norte, São Paulo",2.750
zona-norte,89 m² construídos2 quartos,"Avenida Paula Ferreira, Freguesia Do Ó, São Paulo Zona Norte, São Paulo",2.250
zona-norte,80 m² construídos2 quartos,"Rua Alexandre Azevedo, Vila Mazzei, São Paulo Zona Norte, São Paulo",1.699
zona-norte,70 m² construídos2 quartos,"Rua Copacabana, Santa Teresinha, São Paulo Zona Norte, São Paulo",1.650
zona-norte,320 m² construídos4 quartos,"Rua Camatei, Vila Nivi, São Paulo Zona Norte, São Paulo",3.750
zona-norte,45 m² construídos1 quarto,"Rua Guarajá, Vila Mazzei, São Paulo Zona Norte, São Paulo",2.000
zona-norte,49 m² construídos2 quartos,"Rua Balsa, Vila Arcádia, São Paulo Zona Norte, São Paulo",1.450
zona-norte,50 m² construídos1 quarto,"Alameda Joaquim Eugênio De Lima, Jardim Paulistano (zona Norte), São Paulo Zona Norte, São Paulo",2.225
zona-norte,70 m² construídos3 quartos,"Avenida Daniel Malettini, Vila Aurora, São Paulo Zona Norte, São Paulo",1.300
zona-sul,68 m² construídos2 quartos,"Rua Major Freire, Vila Monte Alegre, São Paulo Zona Sul, São Paulo",1.560
zona-sul,42 m² construídos1 quarto,"Rua Joaquim Távora, 791, Add Vila Mariana, Vila Mariana, São Paulo Zona Sul, São Paulo",2.700
zona-sul,76 m² construídos3 quartos,"Rua Bento Coelho Da Silveira, Vila Campestre, São Paulo Zona Sul, São Paulo",1.150
zona-sul,53 m² construídos2 quartos,"Rua José Alves De Almeida, Jardim Celeste, São Paulo Zona Sul, São Paulo",1.153
zona-sul,85 m² construídos3 quartos,"Rua Oliveira Alves, Ipiranga, São Paulo Zona Sul, São Paulo",2.950
zona-sul,54 m² construídos2 quartos,"Rua Cisplatina, Ipiranga, São Paulo Zona Sul, São Paulo",1.200
zona-sul,140 m² construídos3 quartos,"Rua Democratas, Vila Monte Alegre, São Paulo Zona Sul, São Paulo",2.330
zona-sul,65 m² construídos2 quartos,"Avenida Leonardo Da Vinci, Vila Guarani (z Sul), São Paulo Zona Sul, São Paulo",1.400
zona-sul,28 m² construídos1 quarto,"Oliveira Alves 250, Ipiranga, São Paulo Zona Sul, São Paulo",1.250
zona-sul,35 m² construídos1 quarto,"Avenida Benigno Carrera, Vila Campestre, São Paulo Zona Sul, São Paulo",900
zona-sul,50 m² construídos2 quartos,"Rua João Bethcem Moreira Filho, Cidade Domitila, São Paulo Zona Sul, São Paulo",1.260
zona-sul,65 m² construídos2 quartos,"Rua Deputado João Sussumu Hirata, Vila Andrade, São Paulo Zona Sul, São Paulo",1.350
zona-sul,32 m² construídos1 quarto,"Rua Otávio Tarquínio De Sousa, Campo Belo, São Paulo Zona Sul, São Paulo",1.530
zona-sul,30 m² construídos1 quarto,"Rua Tenente Otávio Gomes, Aclimação, São Paulo Zona Sul, São Paulo",700
zona-sul,55 m² construídos1 quarto,"Rua Marquês De Maricá, Sacomã, São Paulo Zona Sul, São Paulo",1.100
zona-sul,23 m² construídos1 quarto,"Rua Doutor Aramis Ataíde, Vila Cruzeiro, São Paulo Zona Sul, São Paulo",1.100
zona-sul,25 m² construídos1 quarto,"Rua Manoel Correia Júnior, Saúde, São Paulo Zona Sul, São Paulo",1.358
zona-sul,40 m² construídos1 quarto,"Rua Jurupari, Jardim Oriental, São Paulo Zona Sul, São Paulo",1.000
zona-sul,68 m² construídos2 quartos,"Avenida Lacerda Franco, Cambuci, São Paulo Zona Sul, São Paulo",1.500
zona-sul,75 m² construídos2 quartos,"Rua Tenente Azevedo, Aclimação, São Paulo Zona Sul, São Paulo",2.800
zona-sul,45 m² construídos1 quarto,"Rua Dois De Julho, Ipiranga, São Paulo Zona Sul, São Paulo",2.350
zona-sul,60 m² construídos2 quartos,"Avenida Macuco, Moema, São Paulo Zona Sul, São Paulo",2.600
zona-sul,300 m² construídos4 quartos,"Rua Carlos Petti, Vila Mariana, São Paulo Zona Sul, São Paulo",10.000
zona-sul,73 m² construídos3 quartos,"Rua Ângelo Bertini, Jardim Celeste, São Paulo Zona Sul, São Paulo",2.600
zona-sul,29 m² construídos1 quarto,"Rua Santa Rita D#39oeste, Vila Do Encontro, São Paulo Zona Sul, São Paulo",850
zona-sul,68 m² construídos2 quartos,"Rua Doutor Nicolau Alberto Defina, Jardim Da Saúde, São Paulo Zona Sul, São Paulo",900
zona-sul,107 m² construídos2 quartos,"Rua Caconde, Jardim Paulista, São Paulo Zona Sul, São Paulo",4.000
zona-sul,110 m² construídos2 quartos,"Alameda Campinas, Jardim Paulista, São Paulo Zona Sul, São Paulo",4.600
zona-sul,74 m² construídos3 quartos,"Av. Interlagos, Interlagos, São Paulo Zona Sul, São Paulo",1.900
zona-sul,27 m² construídos1 quarto,"Avenida Ibirapuera, Indianópolis, São Paulo Zona Sul, São Paulo",792
zona-sul,28 m² construídos1 quarto,"Rua Osvaldo De Andrade, Vila Cruzeiro, São Paulo Zona Sul, São Paulo",1.200
zona-sul,77 m² construídos2 quartos,"Rua Gomes De Carvalho, Vila Olímpia, São Paulo Zona Sul, São Paulo",2.900
zona-sul,155 m² construídos3 quartos,"Alameda Jaú, Jardim Paulista, São Paulo Zona Sul, São Paulo",2.900
zona-sul,40 m² construídos1 quarto,"Alameda Casa Branca, Jardim Paulista, São Paulo Zona Sul, São Paulo",3.100
zona-sul,34 m² construídos1 quarto,"Rua José Antônio Coelho, Vila Mariana, São Paulo Zona Sul, São Paulo",1.660
zona-sul,54 m² construídos1 quarto,"Rua Cruz E Souza, Aclimação, São Paulo Zona Sul, São Paulo",2.000
zona-sul,57 m² construídos2 quartos,"Rua Agostinho Gomes, Ipiranga, São Paulo Zona Sul, São Paulo",1.866
zona-sul,40 m² construídos1 quarto,"Rua Clodomiro Amazonas, Vila Nova Conceição, São Paulo Zona Sul, São Paulo",3.300
zona-sul,35 m² construídos1 quarto,"Rua Dois De Julho, Ipiranga, São Paulo Zona Sul, São Paulo",1.700
zona-sul,45 m² construídos1 quarto,"Rua Barão Do Triunfo, Brooklin Paulista, São Paulo Zona Sul, São Paulo",1.800
zona-sul,148 m² construídos3 quartos,"Rua Santo Irineu, Bosque Da Saúde, São Paulo Zona Sul, São Paulo",8.250
zona-sul,43 m² construídos1 quarto,"Rua Gomes De Carvalho, Vila Olímpia, São Paulo Zona Sul, São Paulo",2.700
zona-sul,150 m² construídos3 quartos,"Rua Capitao Pinto Ferreira, Jardim Paulista, São Paulo Zona Sul, São Paulo",4.000
zona-sul,103 m² construídos3 quartos,"Rua Joaquim Távora, Vila Mariana, São Paulo Zona Sul, São Paulo",5.800
zona-sul,30 m² construídos1 quarto,"Rua Taquaruçu, Vila Parque Jabaquara, São Paulo Zona Sul, São Paulo",980
zona-sul,57 m² construídos2 quartos,"Rua Costa Aguiar, Ipiranga, São Paulo Zona Sul, São Paulo",1.906
zona-sul,75 m² construídos2 quartos,"Avenida Santo Amaro, Brooklin Paulista, São Paulo Zona Sul, São Paulo",1.700
zona-sul,309 m² construídos4 quartos,"Avenida Washington Luís 1576, Santo Amaro, São Paulo Zona Sul, São Paulo",6.000
zona-sul,55 m² construídos1 quarto,"Rua Nelson Gama De Oliveira, Vila Andrade, São Paulo Zona Sul, São Paulo",1.900
zona-sul,47 m² construídos1 quarto,"Rua Álvaro Luís Roberto De Assumpção, Campo Belo, São Paulo Zona Sul, São Paulo",2.666
zona-sul,44 m² construídos1 quarto,"Rua Viaza, Jardim Aeroporto, São Paulo Zona Sul, São Paulo",2.550
zona-sul,68 m² construídos1 quarto,"Rua Maratona, Vila Alexandria, São Paulo Zona Sul, São Paulo",4.500
zona-sul,64 m² construídos2 quartos,"Avenida Cupecê, Jardim Prudência, São Paulo Zona Sul, São Paulo",2.100
zona-sul,56 m² construídos2 quartos,"Avenida Itaboraí, Bosque Da Saúde, São Paulo Zona Sul, São Paulo",1.600
zona-sul,15 m² construídos1 quarto,"Rua Doutor Willian Carlos Cassab, Vila Sônia, São Paulo Zona Sul, São Paulo",1.150
zona-sul,41 m² construídos1 quarto,"Rua Marquesa De Santos, Vila Dom Pedro I, São Paulo Zona Sul, São Paulo",2.400
zona-sul,20 m² construídos1 quarto,"Rua Clímaco Barbosa, Cambuci, São Paulo Zona Sul, São Paulo",1.210
zona-sul,18 m² construídos1 quarto,"Rua Guedes Galvão, Parque Jabaquara, São Paulo Zona Sul, São Paulo",645
zona-sul,82 m² construídos2 quartos,"Alameda Joaquim Eugênio De Lima, Jardim Paulista, São Paulo Zona Sul, São Paulo",3.900
zona-sul,105 m² construídos3 quartos,"Rua Manoel Carneiro Silva, Bosque Da Saúde, São Paulo Zona Sul, São Paulo",2.100
zona-sul,44 m² construídos1 quarto,"Rua Calixto Da Mota, Vila Mariana, São Paulo Zona Sul, São Paulo",2.600
zona-sul,130 m² construídos4 quartos,"Praça Nami Jafet, Ipiranga, São Paulo Zona Sul, São Paulo",3.900
zona-sul,40 m² construídos1 quarto,"Rua Nossa Senhora Da Saude, Vila Das Mercês, São Paulo Zona Sul, São Paulo",1.200
zona-sul,80 m² construídos2 quartos,"Rua Silva Bueno, Ipiranga, São Paulo Zona Sul, São Paulo",1.800
zona-sul,58 m² construídos2 quartos,"Rua Canário, Moema, São Paulo Zona Sul, São Paulo",2.800
zona-sul,38 m² construídos1 quarto,"Rua Dois De Julho, Ipiranga, São Paulo Zona Sul, São Paulo",1.900
zona-sul,60 m² construídos2 quartos,"Rua Aquiles Jovane, Jardim Celeste, São Paulo Zona Sul, São Paulo",1.200
zona-sul,30 m² construídos1 quarto,"Avenida Moema, Moema, São Paulo Zona Sul, São Paulo",1.800
zona-sul,50 m² construídos2 quartos,"Rua André Luís, Vila Das Mercês, São Paulo Zona Sul, São Paulo",1.500
zona-sul,39 m² construídos1 quarto,"Rua Monsenhor Jerônimo Rodrigues, Jardim Clímax, São Paulo Zona Sul, São Paulo",820
zona-sul,55 m² construídos1 quarto,"Rua Marquês De Maricá, Sacomã, São Paulo Zona Sul, São Paulo",1.100
zona-sul,63 m² construídos2 quartos,"Avenida Dos Carinás, Indianópolis, São Paulo Zona Sul, São Paulo",3.200
zona-sul,100 m² construídos2 quartos,"Rua Peixoto Gomide, Jardim Paulista, São Paulo Zona Sul, São Paulo",3.500
zona-sul,92 m² construídos2 quartos,"Rua Domingos De Morais, Vila Mariana, São Paulo Zona Sul, São Paulo",3.500
zona-sul,55 m² construídos2 quartos,"Rua Laranjal, Vila Marte, São Paulo Zona Sul, São Paulo",1.300
zona-sul,110 m² construídos3 quartos,"Avenida Nove De Julho, Jardim Paulista, São Paulo Zona Sul, São Paulo",4.000
zona-sul,176 m² construídos3 quartos,"Rua Leandro Dupret, Vila Clementino, São Paulo Zona Sul, São Paulo",10.000
zona-sul,61 m² construídos2 quartos,"Rua Visconde De Inhaúma, Vila Da Saúde, São Paulo Zona Sul, São Paulo",2.900
zona-sul,100 m² construídos2 quartos,"Rua Abílio Soares, Paraíso, São Paulo Zona Sul, São Paulo",2.600
zona-sul,30 m² construídos1 quarto,"Rua João Cachoeira, Vila Nova Conceição, São Paulo Zona Sul, São Paulo",4.800
zona-sul,38 m² construídos1 quarto,"Rua Vieira De Morais, Campo Belo, São Paulo Zona Sul, São Paulo",2.200
zona-sul,59 m² construídos2 quartos,"Avenida Engenheiro Armando De Arruda Pereira, Jabaquara, São Paulo Zona Sul, São Paulo",1.762
zona-sul,45 m² construídos2 quartos,"Rua Doutor Nicolau De Sousa Queirós, Vila Mariana, São Paulo Zona Sul, São Paulo",2.400
zona-sul,73 m² construídos2 quartos,"Rua Dos Curupiás, Jabaquara, São Paulo Zona Sul, São Paulo",1.551
zona-sul,100 m² construídos3 quartos,"Rua Doutor Neto De Araújo, Vila Mariana, São Paulo Zona Sul, São Paulo",2.780
zona-sul,90 m² construídos2 quartos,"Rua Bamboré, Ipiranga, São Paulo Zona Sul, São Paulo",2.700
zona-sul,49 m² construídos1 quarto,"Rua Charles Spencer Chaplin, Vila Andrade, São Paulo Zona Sul, São Paulo",2.250
zona-sul,105 m² construídos3 quartos,"Avenida Brigadeiro Luís Antônio, Jardim Paulista, São Paulo Zona Sul, São Paulo",3.751
zona-sul,80 m² construídos2 quartos,"Rua Manuel Buchalla, Sacomã, São Paulo Zona Sul, São Paulo",1.400
zona-sul,125 m² construídos1 quarto,"Rua Deputado Laércio Corte, Paraíso Do Morumbi, São Paulo Zona Sul, São Paulo",3.650
zona-sul,70 m² construídos1 quarto,"Rua Pires Da Mota, Aclimação, São Paulo Zona Sul, São Paulo",2.200
zona-sul,42 m² construídos2 quartos,"Rua Bicudo De Brito, Vila Guarani (z Sul), São Paulo Zona Sul, São Paulo",1.800
zona-sul,95 m² construídos3 quartos,"Rua Indiana, Brooklin Paulista, São Paulo Zona Sul, São Paulo",2.600
zona-sul,15 m² construídos1 quarto,"Avenida Nhandú, Planalto Paulista, São Paulo Zona Sul, São Paulo",1.200
zona-sul,123 m² construídos3 quartos,"Rua Pamplona, Jardim Paulista, São Paulo Zona Sul, São Paulo",5.600
zona-sul,98 m² construídos2 quartos,"Avenida Nove De Julho, Jardim Paulista, São Paulo Zona Sul, São Paulo",4.000
zona-sul,72 m² construídos2 quartos,"Rua Rio Grande, Vila Mariana, São Paulo Zona Sul, São Paulo",2.350
zona-sul,65 m² construídos2 quartos,"Rua Jovina, Vila Mascote, São Paulo Zona Sul, São Paulo",2.200
zona-sul,115 m² construídos3 quartos,"Rua Jesuíno Arruda, Itaim Bibi, São Paulo Zona Sul, São Paulo",3.500
zona-sul,57 m² construídos2 quartos,"Rua Leopoldo De Bulhões, Vila Clementino, São Paulo Zona Sul, São Paulo",3.400
zona-sul,150 m² construídos3 quartos,"Rua Adelino Alves, Santo Amaro, São Paulo Zona Sul, São Paulo",4.330
