zona,area_quartos,enderecos_lista,aluguel
zona-norte,42 m² construídos1 quarto,"Avenida Conceição, Vila Paiva, São Paulo Zona Norte, São Paulo",1.000
zona-norte,60 m² construídos2 quartos,"Rua Piracema, Santa Teresinha, São Paulo Zona Norte, São Paulo",1.980
zona-norte,70 m² construídos3 quartos,"Rua José Barreto Dos Santos, Vila Mangalot, São Paulo Zona Norte, São Paulo",1.550
zona-norte,51 m² construídos2 quartos,"Avenida Jaçanã, Jaçanã, São Paulo Zona Norte, São Paulo",1.635
zona-norte,92 m² construídos2 quartos,"Rua Ite, Vila Guilherme, São Paulo Zona Norte, São Paulo",1.800
zona-norte,60 m² construídos2 quartos,"Rua Copacabana, Santa Teresinha, São Paulo Zona Norte, São Paulo",1.526
zona-norte,60 m² construídos2 quartos,"Rua Sílvio Rodini, Vila Dom Pedro Ii, São Paulo Zona Norte, São Paulo",1.300
zona-norte,59 m² construídos3 quartos,"Rua Itaúna, Vila Maria Baixa, São Paulo Zona Norte, São Paulo",2.500
zona-norte,78 m² construídos3 quartos,"Avenida Túlio Teodoro De Campos, Vila Paulista, São Paulo Zona Norte, São Paulo",1.695
zona-norte,160 m² construídos3 quartos,"Rua Doutor Luiz Zamenhof, Jardim Paraíso, São Paulo Zona Norte, São Paulo",4.000
zona-norte,150 m² construídos2 quartos,"Rua Francisco Raposo, Vila Nova Mazzei, São Paulo Zona Norte, São Paulo",1.400
zona-norte,57 m² construídos2 quartos,"Avenida Inajar De Souza, Limão, São Paulo Zona Norte, São Paulo",2.400
zona-norte,68 m² construídos2 quartos,"Rua Garção Tinoco, Santana, São Paulo Zona Norte, São Paulo",1.700
zona-norte,34 m² construídos1 quarto,"Rua Mariquinha Viana, Água Fria, São Paulo Zona Norte, São Paulo",1.000
zona-norte,25 m² construídos2 quartos,"Rua Padre Venâncio De Resende, Vila Bandeirantes, São Paulo Zona Norte, São Paulo",850
zona-norte,50 m² construídos2 quartos,"Rua José Ferreira De Castro, Vila Amélia, São Paulo Zona Norte, São Paulo",1.200
zona-norte,180 m² construídos3 quartos,"Travessa Manuel Fraga, Vila Nova Mazzei, São Paulo Zona Norte, São Paulo",3.000
zona-norte,59 m² construídos2 quartos,"Rua Epaminondas Melo Do Amaral, Sítio Do Mandaqui, São Paulo Zona Norte, São Paulo",1.100
zona-norte,90 m² construídos2 quartos,"Rua 21 De Abril, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",1.800
zona-norte,246 m² construídos6 quartos,"Rua Da Esperança, Vila Medeiros, São Paulo Zona Norte, São Paulo",5.000
zona-norte,179 m² construídos3 quartos,"Rua Soror Angélica, Vila Ester (zona Norte), São Paulo Zona Norte, São Paulo",3.500
zona-norte,52 m² construídos2 quartos,"Rua Hamburgo, Vila Gustavo, São Paulo Zona Norte, São Paulo",1.800
zona-norte,40 m² construídos1 quarto,"Rua Adlai Stevenson, Vila Ester (zona Norte), São Paulo Zona Norte, São Paulo",1.300
zona-norte,60 m² construídos2 quartos,"Rua Manuel Cherem, Vila Paulista, São Paulo Zona Norte, São Paulo",2.000
zona-norte,69 m² construídos1 quarto,"Travessa Barra Do Ribeiro, Vila Barbosa, São Paulo Zona Norte, São Paulo",766
zona-norte,78 m² construídos2 quartos,"Rua Aroaba, Jardim Peri, São Paulo Zona Norte, São Paulo",2.500
zona-norte,35 m² construídos1 quarto,"Avenida Rangel Pestana, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",1.500
zona-norte,74 m² construídos2 quartos,"Rua Doutor Zuquim, Santana, São Paulo Zona Norte, São Paulo",2.000
zona-norte,63 m² construídos2 quartos,"Rua Sílvio Rodini, Vila Dom Pedro Ii, São Paulo Zona Norte, São Paulo",1.400
zona-norte,30 m² construídos1 quarto,"Rua Eurico Sodré, Vila Medeiros, São Paulo Zona Norte, São Paulo",500
zona-norte,400 m² construídos4 quartos,"Rua Felício Tarabay, Barro Branco, São Paulo Zona Norte, São Paulo",7.000
zona-norte,62 m² construídos2 quartos,"Rua Professor José Miziara, Santa Teresinha, São Paulo Zona Norte, São Paulo",2.000
zona-norte,70 m² construídos3 quartos,"Rua Do Imperador, Vila Paiva, São Paulo Zona Norte, São Paulo",2.000
zona-norte,70 m² construídos2 quartos,"Rua Doutor Heitor Nascimento, Nossa Senhora Do Ó, São Paulo Zona Norte, São Paulo",1.400
zona-norte,54 m² construídos2 quartos,"Rua Paulo César, Vila Mazzei, São Paulo Zona Norte, São Paulo",1.200
zona-norte,162 m² construídos3 quartos,"Rua Cônego Manuel Vaz, Santana, São Paulo Zona Norte, São Paulo",2.500
zona-norte,120 m² construídos3 quartos,"Avenida Tenente Júlio Prado Neves, Vila Albertina, São Paulo Zona Norte, São Paulo",2.000
zona-norte,180 m² construídos3 quartos,"Rua Hintem Martins, Parque Edu Chaves, São Paulo Zona Norte, São Paulo",2.500
zona-norte,90 m² construídos3 quartos,"Rua Raul Dias, Parque Mandaqui, São Paulo Zona Norte, São Paulo",2.180
zona-norte,89 m² construídos3 quartos,"Rua Jorge Valim, Vila Ester (zona Norte), São Paulo Zona Norte, São Paulo",2.630
zona-norte,42 m² construídos2 quartos,"Rua Ventura Carneiro, Vila Celeste, São Paulo Zona Norte, São Paulo",1.150
zona-norte,72 m² construídos2 quartos,"Rua Conselheiro Moreira De Barros, Lauzane Paulista, São Paulo Zona Norte, São Paulo",1.600
zona-norte,173 m² construídos3 quartos,"Rua Almirante Noronha, Jardim São Paulo, São Paulo Zona Norte, São Paulo",2.700
zona-norte,150 m² construídos3 quartos,"Rua Maria Cândida, Vila Guilherme, São Paulo Zona Norte, São Paulo",2.700
zona-norte,83 m² construídos3 quartos,"Avenida Braz Leme, Santana, São Paulo Zona Norte, São Paulo",3.060
zona-norte,200 m² construídos5 quartos,"Rua Cadete Ruytemberg Rocha, Parque Mandaqui, São Paulo Zona Norte, São Paulo",2.600
zona-norte,40 m² construídos1 quarto,"Rua Aragão, Vila Mazzei, São Paulo Zona Norte, São Paulo",1.200
zona-norte,110 m² construídos2 quartos,"Avenida Itaberaba, Nossa Senhora Do Ó, São Paulo Zona Norte, São Paulo",3.000
zona-norte,200 m² construídos3 quartos,"Rua Caraputinga, Vila América, São Paulo Zona Norte, São Paulo",3.000
zona-norte,53 m² construídos2 quartos,"Rua Major Dantas Cortez, Vila Gustavo, São Paulo Zona Norte, São Paulo",2.000
zona-norte,91 m² construídos3 quartos,"Rua Garcia Rodrigues, Parque Mandaqui, São Paulo Zona Norte, São Paulo",1.900
zona-norte,60 m² construídos2 quartos,"Rua Antônio Clemente, Jardim São Paulo, São Paulo Zona Norte, São Paulo",1.850
zona-norte,98 m² construídos3 quartos,"Rua Lúcia Caiaffa, Vila Pereira Barreto, São Paulo Zona Norte, São Paulo",1.800
zona-norte,47 m² construídos1 quarto,"Rua Doutor Gabriel Resende Filho, Chora Menino, São Paulo Zona Norte, São Paulo",1.200
zona-norte,36 m² construídos1 quarto,"Avenida Raimundo Pereira De Magalhães, Jardim Peri, São Paulo Zona Norte, São Paulo",1.200
zona-norte,92 m² construídos3 quartos,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",4.000
zona-norte,76 m² construídos3 quartos,"Rua Capitão Sérvio Rodrigues Caldas, Vila Dom Pedro Ii, São Paulo Zona Norte, São Paulo",2.300
zona-norte,75 m² construídos2 quartos,"Rua Pero Vidal, Parque Vitória, São Paulo Zona Norte, São Paulo",1.500
zona-norte,150 m² construídos4 quartos,"Rua Dráusio Giunchetti Rusin, Jardim Rossin, São Paulo Zona Norte, São Paulo",4.500
zona-norte,70 m² construídos2 quartos,"Rua João Martins Bueno, Vila Nivi, São Paulo Zona Norte, São Paulo",1.700
zona-norte,152 m² construídos3 quartos,"Rua Daniel Rossi, Santana, São Paulo Zona Norte, São Paulo",7.100
zona-norte,160 m² construídos3 quartos,"Avenida Joaquina Ramalho, Vila Guilherme, São Paulo Zona Norte, São Paulo",2.500
zona-norte,65 m² construídos2 quartos,"Rua Barra Da Jangada, Parada Inglesa, São Paulo Zona Norte, São Paulo",1.700
zona-norte,44 m² construídos2 quartos,"Rua Purus, Vila Mazzei, São Paulo Zona Norte, São Paulo",1.600
zona-norte,42 m² construídos2 quartos,"Rua Itaici, Santa Teresinha, São Paulo Zona Norte, São Paulo",2.200
zona-norte,70 m² construídos2 quartos,"Avenida Henri Janor, Vila Santa Terezinha (zona Norte), São Paulo Zona Norte, São Paulo",1.600
zona-norte,80 m² construídos3 quartos,"Avenida General Ataliba Leonel, Santana, São Paulo Zona Norte, São Paulo",3.200
zona-norte,63 m² construídos3 quartos,"Avenida Sebastião Henriques, Vila Siqueira (zona Norte), São Paulo Zona Norte, São Paulo",2.700
zona-norte,72 m² construídos2 quartos,"Rua Almirante Noronha, Jardim São Paulo, São Paulo Zona Norte, São Paulo",1.600
zona-norte,139 m² construídos4 quartos,"Rua Doutor Guilherme Cristoffel, Santana, São Paulo Zona Norte, São Paulo",3.000
zona-norte,60 m² construídos2 quartos,"Rua Capitão Gustavo Lauro Korte, Vila Nova Mazzei, São Paulo Zona Norte, São Paulo",1.500
zona-norte,60 m² construídos2 quartos,"Rua Guerino Giovani Leardini, Vila Barreto, São Paulo Zona Norte, São Paulo",1.600
zona-norte,74 m² construídos2 quartos,"Rua Francisco Lipi, Jardim Vila Rica, São Paulo Zona Norte, São Paulo",1.500
